Date,Close
2021-01-01,700
2021-02-01,715
2021-03-01,730
2021-04-01,750
2021-05-01,740
2021-06-01,755
2021-07-01,760
2021-08-01,770
2021-09-01,780
2021-10-01,790
2021-11-01,800
2021-12-01,820
2022-01-01,810
2022-02-01,830
2022-03-01,850
2022-04-01,860
2022-05-01,870
2022-06-01,880
2022-07-01,890
2022-08-01,895
2022-09-01,900
2022-10-01,910
2022-11-01,920
2022-12-01,930
2023-01-01,940
2023-02-01,950
2023-03-01,960
2023-04-01,970
2023-05-01,980
2023-06-01,990
2023-07-01,1000
2023-08-01,1010
2023-09-01,1020
2023-10-01,1030
2023-11-01,1040
2023-12-01,1050
2024-01-01,1060
2024-02-01,1070
2024-03-01,1080
2024-04-01,1090
2024-05-01,1100
2024-06-01,1110
2024-07-01,1120
2024-08-01,1130
2024-09-01,1140
2024-10-01,1150
2024-11-01,1160
2024-12-01,1170
2025-01-01,1180
2025-02-01,1190
2025-03-01,1200
2025-04-01,1210
2025-05-01,1220
2025-06-01,1230
